property_id,property_name,address,city,region,property_price,listed_date,area_sqft,bedrooms,bathrooms,agent_name,agent_phone,agent_email,agent_region,agent_id,buyer_id,buyer_name,buyer_contact,buyer_email,buyer_city,transaction_id,sale_price,transaction_date,property_address,visit_id,visitor_name,visit_date
1001,"Willis, Burke and Jones Residency","2284 Heather Ridges Suite 908, East Brandy, NM 92551",Delhi,North,10697975,2025-06-12,2422,1,1,Chelsea Estrada,781-875-3614x0222,aprilguerrero@hotmail.com,South,203,316,Vicki Mcbride,001-397-071-9075x6035,xharrell@ford.biz,Chennai,4001,14676620,2025-07-09,"2284 Heather Ridges Suite 908, East Brandy, NM 92551",5001,Adam Boyd,2025-04-15
1002,"Hudson, Bryan and Cantu Residency","048 Barron Pass Suite 501, Smithport, DC 71972",Gurgaon,South,9263877,2025-06-17,1605,5,1,William Lynch,029-466-5931,kimgregory@thompson.biz,East,206,315,Judith Krueger,051-517-5061x72527,pmoreno@yahoo.com,Gurgaon,4002,8656620,2025-07-18,"048 Barron Pass Suite 501, Smithport, DC 71972",5002,Brandon Jones,2025-05-02
1003,"Ayala, Brown and Kennedy Residency","332 Obrien Trace Apt. 830, New Edwardmouth, MO 29332",Delhi,North,13742004,2025-05-22,2550,1,1,William Lynch,029-466-5931,kimgregory@thompson.biz,East,206,305,Jared Davis,740-125-2102x03741,howeernest@guerrero-heath.com,Hyderabad,4003,15971379,2025-07-07,"332 Obrien Trace Apt. 830, New Edwardmouth, MO 29332",5003,Renee Robertson,2025-04-28
1004,Diaz-Lane Residency,"446 Beltran Roads, Palmerstad, MA 29263",Noida,East,24710835,2025-05-23,1158,3,3,Monica Thomas,7910500990,sfoster@gmail.com,North,205,320,Kathleen Best DVM,+1-967-610-0955x15669,chrisholland@nelson.com,Hyderabad,4004,11860699,2025-06-28,"446 Beltran Roads, Palmerstad, MA 29263",5004,Todd Page,2025-05-06
1005,Smith-Stephens Residency,"010 Robert Place Apt. 591, Bryanfurt, CA 77464",Pune,West,24223445,2025-06-02,2691,4,2,John Wyatt,786-248-4983,afloyd@yahoo.com,South,208,308,Felicia Phillips,772.680.8808x1192,myersstacy@chapman.com,Noida,4005,15450385,2025-07-19,"010 Robert Place Apt. 591, Bryanfurt, CA 77464",5005,Patty Brown,2025-06-30
1006,Craig-Fields Residency,"PSC 0404, Box 3395, APO AP 04454",Gurgaon,South,7854847,2025-06-10,2771,5,3,David Stewart,576.091.0572,kleinbrendan@yahoo.com,South,201,311,Annette Cortez,+1-948-087-4820,savagepamela@hotmail.com,Mumbai,4006,5675410,2025-07-16,"PSC 0404, Box 3395, APO AP 04454",5006,Brandy Savage,2025-07-02
1007,"Brown, Williams and Molina Residency","630 Baker Oval Suite 452, New Meganchester, KY 40848",Noida,East,8770484,2025-06-22,2575,5,5,Andrew Weeks,285-829-0409x636,vanessaswanson@hill.org,South,210,310,Brian Leon,001-112-535-1939x088,robynkennedy@hotmail.com,Noida,4007,12844103,2025-06-28,"630 Baker Oval Suite 452, New Meganchester, KY 40848",5007,Darren Gray,2025-06-23
1008,Baker LLC Residency,"729 Rhonda Point Apt. 396, Chambersland, MT 26841",Noida,East,22360284,2025-04-28,1826,3,2,Monica Thomas,7910500990,sfoster@gmail.com,North,205,319,Melanie Vega,664.630.4442x549,yoconnor@reese.com,Noida,4008,12071899,2025-06-29,"729 Rhonda Point Apt. 396, Chambersland, MT 26841",5008,Caitlyn Woods,2025-06-16
1009,"Page, Brown and Young Residency","58033 Sandra Road Suite 300, Danielfurt, IL 93235",Mumbai,West,24315252,2025-05-02,1571,5,1,Monica Thomas,7910500990,sfoster@gmail.com,North,205,314,Joy Schultz,734-359-3358x98210,charlespenny@hotmail.com,Chennai,4009,20331292,2025-06-28,"58033 Sandra Road Suite 300, Danielfurt, IL 93235",5009,Brian Burgess,2025-04-17
1010,"Peters, Murray and Jones Residency","39732 Harris Trail, Port Kristiport, IL 72389",Hyderabad,South,24049126,2025-06-21,2143,1,1,Susan Richards,075.266.9356x7344,charlenemartin@sharp-romero.biz,West,209,310,Brian Leon,001-112-535-1939x088,robynkennedy@hotmail.com,Noida,4010,15570415,2025-07-18,"39732 Harris Trail, Port Kristiport, IL 72389",5010,Christy Mccarthy DDS,2025-04-21
1011,Clark Group Residency,"5955 Rebecca Lodge Apt. 717, Port Tracyberg, TX 42047",Bangalore,South,11008074,2025-05-01,1304,1,1,Susan Richards,075.266.9356x7344,charlenemartin@sharp-romero.biz,West,209,310,Brian Leon,001-112-535-1939x088,robynkennedy@hotmail.com,Noida,4011,11336682,2025-06-29,"5955 Rebecca Lodge Apt. 717, Port Tracyberg, TX 42047",5011,Megan Larsen,2025-06-06
1012,Tucker Inc Residency,"8902 Brooks Shores Apt. 195, North Wandaview, CO 68093",Bangalore,South,10259679,2025-06-08,852,1,1,Joseph Rodriguez,518.190.9074x5621,kristiwilliams@hotmail.com,South,207,304,Chad Gonzalez,366.096.2690x151,steven74@rodriguez.com,Gurgaon,4012,20677728,2025-06-28,"8902 Brooks Shores Apt. 195, North Wandaview, CO 68093",5012,Brian Campbell,2025-06-23
1013,"Sweeney, Ponce and Williams Residency","21169 Mark Plains Apt. 149, Josephside, GA 58502",Chennai,South,21961295,2025-05-12,1093,5,1,Ronald Kennedy,(724)327-3734,charles39@anderson.com,South,204,316,Vicki Mcbride,001-397-071-9075x6035,xharrell@ford.biz,Chennai,4013,24172678,2025-07-06,"21169 Mark Plains Apt. 149, Josephside, GA 58502",5013,Roger Olsen,2025-06-22
1014,"Barrett, Wallace and Jacobs Residency","076 Lisa Fords, West Edwardchester, ME 30900",Mumbai,West,21148054,2025-05-04,2898,5,2,Ronald Kennedy,(724)327-3734,charles39@anderson.com,South,204,305,Jared Davis,740-125-2102x03741,howeernest@guerrero-heath.com,Hyderabad,4014,7735117,2025-07-01,"076 Lisa Fords, West Edwardchester, ME 30900",5014,Richard Jennings,2025-05-08
1015,"Hall, Walker and Meyer Residency","138 Schaefer Vista Apt. 807, Lake Alexandermouth, NE 87454",Pune,West,7479811,2025-06-19,2257,5,1,Ronald Kennedy,(724)327-3734,charles39@anderson.com,South,204,317,Amy Jackson,+1-376-445-4873x8561,morgancampbell@hotmail.com,Gurgaon,4015,22531034,2025-07-06,"138 Schaefer Vista Apt. 807, Lake Alexandermouth, NE 87454",5015,Jeremy Ward,2025-04-18
1016,"Walker, Hill and Moody Residency","5169 Ashley Rue Apt. 439, West Jessicachester, RI 34153",Bangalore,South,5859183,2025-06-16,2983,5,1,Joseph Rodriguez,518.190.9074x5621,kristiwilliams@hotmail.com,South,207,301,Connie Brown,742-277-5478,natalie03@baker.com,Hyderabad,4016,19248051,2025-07-13,"5169 Ashley Rue Apt. 439, West Jessicachester, RI 34153",5016,Erica Riggs,2025-06-11
1017,"Webb, Mcmahon and Anderson Residency","228 John Drive, Port Jamesmouth, NV 26234",Pune,West,19550361,2025-06-21,1742,1,1,Monica Thomas,7910500990,sfoster@gmail.com,North,205,305,Jared Davis,740-125-2102x03741,howeernest@guerrero-heath.com,Hyderabad,4017,9205465,2025-07-09,"228 John Drive, Port Jamesmouth, NV 26234",5017,Robert Mullins,2025-06-27
